Title,Event Type,Date,Time,City,Organization,Rating,Volunteers Engaged,Min Duration,Max Duration,Duration String
Mission ESSAR- Flood Relief Fund,"Teaching, Workshops",Nov 25 2022 - Dec 31 2022,12:00 AM - 11:59 PM,Rajanpur,Superior University Lahore,4,4,3,16,3 - 16 hours
Kohsar University Murree Flood Relief Campaign,"Teaching, Workshops",Nov 25 2022 - Dec 31 2022,8:00 AM - 12:00 AM,Dera Ghazi Khan,Kohsar University,4,1,10,16,10 - 16 hours
MilKar Flood Operation's Volunteer Call 2022,Community Service,Sep 05 2022 - Dec 31 2022,1:00 PM - 10:59 PM,Lahore,Milkar,5,4,8,19,8 - 19 hours
Institution Name Flood Campaign 2022,Social Responsibility,Nov 24 2022 - Dec 31 2022,9:00 AM - 12:00 AM,Karachi,DHA Suffa University,4,11,6,11,6 - 11 hours
"UVAS Flood Campaign, 2022","Events, Conferences",Nov 24 2022 - Dec 31 2022,8:00 AM - 5:00 PM,Rajanpur,University of Veterinary And Animal Sciences Lahore,3,6,10,20,10 - 20 hours
Sindh Madresatul Islam University Flood Campaign 2022,"Teaching, Workshops",Nov 25 2022 - Dec 31 2022,2:12 PM - 10:00 PM,Karachi,Sindh Madressatul Islam University Karachi,4,6,10,15,10 - 15 hours
NUTECH Flood Relief Camp,"Teaching, Workshops",Nov 24 2022 - Dec 31 2022,9:00 AM - 4:00 PM,Islamabad,National University of Technology,4,11,5,14,5 - 14 hours
On- Campus Flood Relief Camp,"Events, Conferences",Nov 24 2022 - Dec 31 2022,8:00 AM - 9:00 PM,Lahore,University of Engineering and Technology Lahore,1,6,3,18,3 - 18 hours
UCP Flood Relief Campaign 2022,Social Responsibility,Nov 23 2022 - Dec 31 2022,9:00 AM - 5:00 PM,Lahore,University of Central Punjab,3,5,4,13,4 - 13 hours
Rawalpindi Women University Flood Campaign 2022,Community Service,Nov 23 2022 - Dec 31 2022,6:07 AM - 12:00 PM,Rawalpindi,Rawalpindi Women University,4,10,7,11,7 - 11 hours
"The CSR Society, NUML Flood Campaign 2022","Teaching, Workshops",Nov 25 2022 - Dec 31 2022,8:00 AM - 12:00 AM,Larkana,National University of Modern Languages Islamabad,3,13,1,12,1 - 12 hours
AWKUM flood relief,"Events, Conferences",Nov 23 2022 - Dec 31 2022,8:00 AM - 5:00 PM,Charsadda,Abdul Wali Khan University Mardan,1,15,7,19,7 - 19 hours
MUET FLOOD RELIEF CAMPAIGN,"Events, Conferences",Nov 23 2022 - Dec 31 2022,3:37 PM - 3:37 PM,Jamshoro,Mehran University of Engineering and Technology,3,11,7,16,7 - 16 hours
"Flood Relief Activity, University of haripur","Events, Conferences",Nov 23 2022 - Dec 31 2022,9:00 AM - 4:30 PM,Haripur,UNIVERSITY OF HARIPUR,4,5,10,16,10 - 16 hours
Phase 1 (District Sehwan) & Phase 2 (Manzorabad & Aliyabad Jamshoro),Social Responsibility,Nov 24 2022 - Dec 31 2022,10:53 AM - 10:53 PM,Dadu,Dow University of Health Sciences,4,14,2,19,2 - 19 hours
Institute of Space Technology Flood Donation Campaign 2022,Social Responsibility,Nov 23 2022 - Dec 31 2022,12:00 PM - 4:00 PM,Rajanpur,Institute of Space Technology,5,12,8,11,8 - 11 hours
Re-Build Sawat Flood Relief Operations Call 2022,"Events, Conferences",Sep 01 2022 - Dec 31 2022,7:00 PM - 11:59 PM,Malakand,ReBuild Sawat,2,16,10,17,10 - 17 hours
Al-Khidmat Pakistan Flood Donation Appeal 2022,Social Responsibility,Aug 02 2022 - Dec 31 2022,2:00 PM - 11:59 PM,,Alkhidmat Foundation Pakistan,5,20,3,16,3 - 16 hours
Pakistan Flood Emergency Appeal 2022,"Events, Conferences",Aug 26 2022 - Dec 31 2022,6:00 PM - 6:59 PM,Lahore,Milkar,4,5,5,20,5 - 20 hours
Akhuwat Emergency Flood Relief Appeal 2022,Social Responsibility,Aug 26 2022 - Dec 31 2022,1:30 PM - 11:59 PM,Lahore,Akhuwat Foundation,4,7,8,15,8 - 15 hours
"MilKar & AWT Dastarkhwan Visit & Serve People"" December 2022""",Social Responsibility,Dec 28 2022 - Dec 31 2022,5:00 PM - 6:30 PM,Lahore,ALLAH Walay Trust,5,11,6,15,6 - 15 hours
PCA Flood Emergency Appeal 2022,Community Service,Aug 24 2022 - Dec 31 2022,12:00 PM - 11:59 PM,Lahore,Pakistan Citizens Alliance,3,2,5,12,5 - 12 hours
Quaid-i-Azam University Flood Relief Campaign 2022,Community Service,Nov 25 2022 - Dec 31 2022,8:00 AM - 4:00 PM,Islamabad,Quaid I Azam University Islamabad,1,14,6,11,6 - 11 hours
USA Flood Relief 2022,"Teaching, Workshops",Nov 25 2022 - Dec 31 2022,12:00 AM - 12:00 AM,Lahore,University of South Asia,4,13,2,15,2 - 15 hours
Flood Relief Donation Drive,Social Responsibility,Nov 25 2022 - Dec 31 2022,9:00 AM - 5:00 PM,Quetta,BUITEMS,5,20,8,11,8 - 11 hours
LCWU Flood Relief Campaign 2022,Community Service,Nov 29 2022 - Dec 31 2022,9:00 AM - 5:00 PM,Lahore,Lahore College for Women University,4,8,8,16,8 - 16 hours
MilKar Book Drive 2022,Community Service,Jun 22 2022 - Dec 31 2022,6:00 PM - 6:00 PM,,Milkar,4,5,7,11,7 - 11 hours
Nishtarian Flood Campaign 2022,Community Service,Nov 26 2022 - Dec 31 2022,8:00 AM - 12:00 AM,Rajanpur,Nishtar Medical University,1,12,8,18,8 - 18 hours
Ideas Foundation Flood Emergency Relief Appeal,Social Responsibility,Aug 30 2022 - Dec 31 2022,3:00 PM - 11:59 PM,Islamabad,Ideas Foundation,3,13,6,18,6 - 18 hours
Flood Relief Operations,Social Responsibility,Aug 28 2022 - Dec 31 2022,10:00 AM - 10:00 PM,Lahore,Alkhidmat Foundation Pakistan,5,15,8,11,8 - 11 hours
Flood Relief Campaign 2022,"Teaching, Workshops",Nov 25 2022 - Dec 31 2022,5:00 AM - 9:00 PM,Dera Ghazi Khan,University of Education Lahore,4,5,4,17,4 - 17 hours
Read Foundation Flood Emergency Relief Pakistan 2022,"Events, Conferences",Aug 29 2022 - Dec 31 2022,6:00 PM - 11:59 PM,Islamabad,READ Foundation,4,1,9,16,9 - 16 hours
Nahfidu Flood Emergency Relief Pakistan 2022,Social Responsibility,Aug 30 2022 - Dec 31 2022,1:00 PM - 11:59 PM,Lahore,Nahfidu Forum,4,10,4,14,4 - 14 hours
Kashf Foundation Flood Emergency Relief Pakistan 2022,"Teaching, Workshops",Aug 30 2022 - Dec 31 2022,4:00 PM - 11:59 PM,Lahore,Kashf Foundation,4,5,3,18,3 - 18 hours
Sponsor a breakfast,"Teaching, Workshops",Mar 15 2022 - Dec 31 2022,10:00 AM - 4:00 PM,,Zindagi Trust,3,4,4,11,4 - 11 hours
Foundation University School of Health Sciences Flood Campaign 2022,Community Service,Nov 25 2022 - Dec 31 2022,1:00 AM - 1:00 AM,,Foundation University Islamabad,4,9,5,12,5 - 12 hours
Azad Jammu and Kashmir Muzaffarabad Flood Relief Campaign 2022,Community Service,Nov 25 2022 - Dec 31 2022,9:00 AM - 5:00 PM,Muzaffarabad,The University of Azad Jammu and Kashmir Muzaffarabad,1,15,8,20,8 - 20 hours
University of Chakwal Flood Relief 2022,"Teaching, Workshops",Nov 25 2022 - Dec 31 2022,9:00 AM - 5:00 AM,Chakwal,University of Chakwal,4,4,2,12,2 - 12 hours
Voluntary Internship Program,"Teaching, Workshops",Dec 09 2022 - Dec 31 2022,11:00 AM - 6:00 PM,Lahore,Waduha Welfare Organization,5,2,9,16,9 - 16 hours
Milkar Ambassador Drive 2022,Community Service,Jul 01 2022 - Dec 30 2022,12:00 PM - 11:59 PM,,Milkar,4,11,6,14,6 - 14 hours
CUST Flood Relief Campaign 2022,Social Responsibility,Nov 21 2022 - Dec 30 2022,9:00 AM - 5:00 PM,,Capital University of Science and Technology,1,2,9,14,9 - 14 hours
University of Engineering & Technology Mardan Flood Campaign 2022,Community Service,Nov 25 2022 - Dec 30 2022,10:00 AM - 4:00 PM,Nowshera,"University of Engineering & Technology (UET), Mardan",4,11,10,20,10 - 20 hours
Donation Campaign for Flood Affectees,Social Responsibility,Nov 28 2022 - Dec 27 2022,9:00 AM - 3:00 PM,Nowshera,Sarhad University of Science and Information Technology Peshawar,3,5,1,11,1 - 11 hours
Click for Change 2022: Inter-University Photography Competition,Community Service,Nov 21 2022 - Dec 25 2022,12:00 AM - 12:00 PM,,Centre for Business and Society at Lahore University of Management Sciences,3,10,8,15,8 - 15 hours
Government College University Flood Campaign 2022,Social Responsibility,Nov 25 2022 - Dec 25 2022,9:00 AM - 5:00 PM,Lahore,Government College University Pakistan,4,17,10,11,10 - 11 hours
Rawalpindi Medical University Flood Relief campaign 2022,Community Service,Nov 24 2022 - Dec 24 2022,6:30 AM - 6:30 PM,Nowshera,Rawalpindi Medical University,3,17,8,18,8 - 18 hours
Psycho social counselling session for university students,Social Responsibility,Dec 23 2022 - Dec 23 2022,9:00 AM - 12:00 PM,Malakand,University of Malakand,3,6,4,14,4 - 14 hours
Faisalabad Medical University Flood Campaign 2022,"Events, Conferences",Nov 25 2022 - Dec 20 2022,8:00 AM - 12:00 PM,Faisalabad,Faisalabad Medical University Faisalabad,1,15,10,18,10 - 18 hours
flood relief campaign,"Teaching, Workshops",Nov 25 2022 - Dec 12 2022,8:00 AM - 4:00 PM,,FAST NUCES Karachi,3,9,5,12,5 - 12 hours
Fatima Jinnah Medical University Flood Relief action program 2022,Community Service,Nov 25 2022 - Dec 05 2022,8:52 AM - 10:51 PM,Rajanpur,Fatima jinnah medical university,3,16,4,17,4 - 17 hours
Flood Campaign 2022,"Teaching, Workshops",Nov 21 2022 - Nov 30 2022,1:30 PM - 12:00 PM,Peshawar,University of Peshawar,3,18,3,12,3 - 12 hours
Lahore School Flood Relief Campaign 2022,Social Responsibility,Nov 23 2022 - Nov 30 2022,9:00 AM - 9:00 AM,Rajanpur,Lahore School of Economics,1,8,2,13,2 - 13 hours
Government College Women University Sialkot Flood Campaign 2022,"Teaching, Workshops",Nov 25 2022 - Nov 30 2022,11:50 AM - 12:55 PM,Rajanpur,Government College Women University Sialkot,3,5,5,20,5 - 20 hours
fundraising for flood relief,Social Responsibility,Nov 25 2022 - Nov 30 2022,11:53 AM - 12:49 PM,Sialkot,Government College Women University Sialkot,3,16,6,11,6 - 11 hours
Greenwich University Flood Relief Campaign 2022,Social Responsibility,Nov 25 2022 - Nov 30 2022,9:00 AM - 9:00 PM,Karachi,Greenwich University,4,1,6,14,6 - 14 hours
Flood Relief Activities,"Events, Conferences",Nov 26 2022 - Nov 30 2022,11:00 AM - 5:00 PM,Khairpur,Shah Abdul Latif University Khairpur,3,9,3,11,3 - 11 hours
Women University of Azad Jammu & Kashmir Bagh Flood Relief Campaign 2022,Community Service,Nov 25 2022 - Nov 30 2022,9:00 AM - 3:30 PM,Bagh,Women University of Azad Jammu and Kashmir Bagh,4,10,10,12,10 - 12 hours
Camp for Flood Victims,"Events, Conferences",Nov 25 2022 - Nov 30 2022,10:40 AM - 2:38 PM,Chitral,University of swabi pakistan,4,13,8,14,8 - 14 hours
UHE Flood Relief Campaign 2022,"Events, Conferences",Nov 25 2022 - Nov 30 2022,6:00 PM - 11:01 PM,Mirpur Khas,University of Home Economics,4,8,4,20,4 - 20 hours
Rehabilitation of Flood Affectees,Community Service,Nov 26 2022 - Nov 30 2022,10:00 AM - 10:00 PM,,Riphah International University,2,19,9,17,9 - 17 hours
Jinnah Sindh Medical University Student Council Flood Campaign 2022,"Events, Conferences",Nov 22 2022 - Nov 26 2022,3:36 PM - 8:00 PM,Naushahro Feroze,Jinnah Sindh Medical University Student Council,4,18,10,19,10 - 19 hours
Flood Relief Camp,"Events, Conferences",Nov 25 2022 - Nov 26 2022,4:31 PM - 9:32 PM,Naushahro Feroze,Malir University of Science and Technology,3,15,3,18,3 - 18 hours
Burewala Wall Art Competiton,"Teaching, Workshops",Nov 25 2022 - Nov 25 2022,8:00 AM - 4:42 PM,Burewala,Humans Of Burewala,5,12,6,20,6 - 20 hours
LUMHS Flood Campaign 2022,"Events, Conferences",Nov 25 2022 - Nov 25 2022,8:00 AM - 5:00 PM,Jamshoro,Liaquat University of Medical and Health Sciences Jamshoro,1,19,4,18,4 - 18 hours
Shaikh Ayaz University Shikarpur Flood Campaign 2022,"Events, Conferences",Nov 25 2022 - Nov 25 2022,10:30 AM - 4:00 PM,Shikarpur,The Shaikh Ayaz University Shikarpur,1,5,6,20,6 - 20 hours
Humanitarian Flood relief and assistance campaign,"Events, Conferences",Nov 25 2022 - Nov 25 2022,3:00 PM - 3:00 PM,Rajanpur,Government College Women University Faisalabad,3,4,7,18,7 - 18 hours
NFC Institute of Engineering and Technology Flood Campaign 2022,"Teaching, Workshops",Nov 25 2022 - Nov 25 2022,9:00 AM - 6:00 PM,Multan,NFC Institute of Engineering and Technology Multan,1,19,6,11,6 - 11 hours
University of Sahiwal Flood Relief Campaign 2022,Social Responsibility,Nov 25 2022 - Nov 25 2022,9:00 AM - 3:00 PM,Sahiwal,University of Sahiwal,3,7,4,15,4 - 15 hours
BUETK - Flood Relief Activity 2022,"Teaching, Workshops",Nov 25 2022 - Nov 25 2022,9:00 AM - 6:00 PM,Khuzdar,Balochistan University of Enigneering and Technology Khuzdar,2,11,5,20,5 - 20 hours
Hajvery University Flood Campaign 2022 (Free Medical Camp),Social Responsibility,Nov 25 2022 - Nov 25 2022,9:00 AM - 4:00 PM,Kasur,Hajvery University,4,4,5,17,5 - 17 hours
Hajvery University Flood Campaign 2022 (Food Distribution),Community Service,Nov 25 2022 - Nov 25 2022,9:00 AM - 9:00 PM,Dera Allahyar,Hajvery University,3,14,8,18,8 - 18 hours
UOG Flood Relief Campaign,"Teaching, Workshops",Nov 23 2022 - Nov 24 2022,11:40 AM - 12:00 PM,Gujrat,University of Gujrat,1,15,6,11,6 - 11 hours
Indus University Flood Relief Campaign 2022,"Teaching, Workshops",Nov 23 2022 - Nov 24 2022,7:38 PM - 9:41 AM,Karachi,Indus University,1,3,9,17,9 - 17 hours
UMT Flood Campaign 2022,Social Responsibility,Nov 22 2022 - Nov 22 2022,1:00 PM - 11:00 PM,,University of Management & Technology,4,5,4,13,4 - 13 hours
Summer Virtual Internship in Multiple Domains Volunteering,Community Service,Jun 23 2022 - Oct 31 2022,12:00 AM - 12:00 AM,,Dinar Dirham Pakistan,5,18,5,13,5 - 13 hours
A2A Flood Relief Winter Clothing Drive,Community Service,Oct 18 2022 - Oct 31 2022,9:00 AM - 11:59 PM,Lahore,A2A,3,1,3,17,3 - 17 hours
"MilKar & AWT Dastarkhwan Visit & Serve People"" October 2022""","Teaching, Workshops",Oct 25 2022 - Oct 29 2022,5:00 PM - 6:30 PM,Lahore,ALLAH Walay Trust,4,15,2,13,2 - 13 hours
Flood Relief by The Happy Faces,Community Service,Sep 24 2022 - Oct 24 2022,3:55 PM - 11:23 PM,,abdulsamad,1,11,7,17,7 - 17 hours
"Internship in Designing, Content Writing & Social Media Management",Social Responsibility,Oct 18 2021 - Oct 18 2022,1:36 AM - 12:37 AM,,Dinar Dirham Pakistan,5,11,7,16,7 - 16 hours
Bahawalpur Flood Relief campaign,"Teaching, Workshops",Oct 16 2022 - Oct 16 2022,9:00 AM - 5:00 PM,Bahawalpur,Musharaf Iqbal Foundation,3,17,3,13,3 - 13 hours
Stationary Needed for Flood Affected Children,"Teaching, Workshops",Sep 11 2022 - Oct 11 2022,9:58 PM - 9:58 AM,,Tehreek Shaoor Pakistan,4,15,8,15,8 - 15 hours
The Art of Leadership Session,Social Responsibility,Oct 10 2022 - Oct 10 2022,12:30 PM - 2:30 PM,,Mahmood Mahboob,4,17,1,19,1 - 19 hours
Annual Volunteer Congress (VCON) 2022,Community Service,Oct 05 2022 - Oct 05 2022,10:00 AM - 5:00 PM,Lahore,INFECTION PREVENTION AND CONTROL FOUNDATION,4,7,3,19,3 - 19 hours
Milkar Volunteer Internship Call 2022,Community Service,Sep 01 2022 - Oct 01 2022,11:00 AM - 4:00 PM,,Milkar,5,14,9,12,9 - 12 hours
Milkar Stationery Collection Drive August 2022,Community Service,Aug 15 2022 - Sep 30 2022,12:00 PM - 11:59 PM,,Milkar,3,20,6,14,6 - 14 hours
TCF Emergency Flood Relief Campaign 2022,"Events, Conferences",Sep 01 2022 - Sep 30 2022,6:00 PM - 11:59 PM,,The Citizens Foundation,3,2,8,19,8 - 19 hours
Shahid Afridi Foundation Flood Relief 2022,"Events, Conferences",Sep 02 2022 - Sep 30 2022,2:00 PM - 11:59 PM,,Shahid Afridi Foundation,5,2,7,19,7 - 19 hours
Call for Vloggers,"Teaching, Workshops",Sep 10 2022 - Sep 30 2022,5:00 PM - 9:00 PM,,Milkar,4,5,3,16,3 - 16 hours
Call for Ambassadors in Lahore,"Teaching, Workshops",Sep 16 2022 - Sep 30 2022,12:00 PM - 12:00 AM,Lahore,Milkar,3,5,1,17,1 - 17 hours
Save Rajanpur Schools & Children,Community Service,Aug 17 2022 - Sep 17 2022,8:31 AM - 9:31 AM,,Tehreek Shaoor Pakistan,3,4,9,14,9 - 14 hours
Youth Impact Flood Emergency Appeal 2022,"Events, Conferences",Aug 29 2022 - Sep 15 2022,6:00 PM - 11:59 PM,,Youth Impact,4,5,8,15,8 - 15 hours
Donate A Toy,"Teaching, Workshops",Jul 31 2022 - Aug 31 2022,3:49 AM - 7:49 PM,,Tehreek Shaoor Pakistan,3,5,10,15,10 - 15 hours
Flood Relief Donation camp,Social Responsibility,Aug 27 2022 - Aug 29 2022,9:00 AM - 6:00 PM,,The Humanity Adventurous,3,4,2,14,2 - 14 hours
Global Blood Hero's 2022,"Teaching, Workshops",Aug 27 2022 - Aug 28 2022,9:00 AM - 9:00 AM,Lahore,Who is Hussain,2,17,1,20,1 - 20 hours
"MilKar & AWT Dastarkhwan Visit & Serve People"" August 2022""",Community Service,Aug 27 2022 - Aug 27 2022,7:00 PM - 9:00 PM,,ALLAH Walay Trust,3,2,9,17,9 - 17 hours
Camp Himalayas,Social Responsibility,Dec 25 2021 - Aug 25 2022,7:00 AM - 11:00 PM,Mansehra,Youth Impact,3,4,4,19,4 - 19 hours
Education Revolution,"Events, Conferences",Jul 24 2022 - Aug 24 2022,5:48 AM - 5:48 PM,,Tehreek Shaoor Pakistan,3,18,6,11,6 - 11 hours
Volunteer Development Program,Community Service,Aug 10 2022 - Aug 18 2022,3:00 PM - 6:00 PM,Lahore,Pakistan Citizens Alliance,3,14,6,11,6 - 11 hours
Independence Day | Mega Azadi Ride 2022,Social Responsibility,Aug 14 2022 - Aug 14 2022,4:00 AM - 9:00 AM,,Milkar,3,10,9,20,9 - 20 hours
Muskurahaton Ka Safar! - HOBxRizqxTotal-Parco Ration Distribution,Community Service,Aug 11 2022 - Aug 11 2022,12:00 PM - 6:00 PM,,Humans Of Burewala,4,5,1,16,1 - 16 hours
Water Project Cholistan,"Teaching, Workshops",Jul 01 2022 - Aug 01 2022,9:00 AM - 5:00 PM,,Musharaf Iqbal Foundation,5,11,1,11,1 - 11 hours
Let's Save Birds - School Challenge,Community Service,May 26 2022 - Jul 31 2022,12:19 AM - 12:19 AM,,Humans Of Burewala,5,4,1,15,1 - 15 hours
Milkar Stationery Collection Drive July 2022,Community Service,Jul 02 2022 - Jul 31 2022,2:00 PM - 11:59 PM,,Milkar,3,18,1,14,1 - 14 hours
"MilKar & AWT Dastarkhwan Visit & Serve People"" July 2022""","Teaching, Workshops",Jul 30 2022 - Jul 30 2022,7:00 PM - 9:00 PM,Lahore,ALLAH Walay Trust,3,5,3,19,3 - 19 hours
Chadar Summer Internship - Summer School 2022,Social Responsibility,Jul 04 2022 - Jul 22 2022,6:00 PM - 11:59 PM,Islamabad,Chadar,3,19,1,16,1 - 16 hours
Pakistan Chemical Expo 2022,"Events, Conferences",Jul 19 2022 - Jul 20 2022,8:30 AM - 7:00 PM,Lahore,Pakistan chemical manufacturers association,1,1,2,12,2 - 12 hours
Door of Awareness Summer Internship Program 2022,"Events, Conferences",Jun 29 2022 - Jul 08 2022,2:00 PM - 11:59 PM,,Door of Awareness,4,19,6,11,6 - 11 hours
Volunteer Needed,Community Service,May 30 2022 - Jun 30 2022,9:35 AM - 2:41 PM,,Tehreek Shaoor Pakistan,5,13,10,11,10 - 11 hours
Al-Khidmat Postal Packing Activity for Qurbani Campaign,Community Service,Jun 21 2022 - Jun 26 2022,9:30 AM - 5:00 PM,,Alkhidmat Foundation Pakistan,5,5,8,17,8 - 17 hours
"MilKar & AWT DastarkhwanVisit & Serve People"" June 2022""",Community Service,Jun 25 2022 - Jun 25 2022,6:00 PM - 8:00 PM,,ALLAH Walay Trust,5,10,3,12,3 - 12 hours
CSP Bahria University Lahore Spring 2022 Task 4 Tutor,"Events, Conferences",May 23 2022 - Jun 18 2022,9:00 AM - 11:59 PM,,Milkar,4,5,7,11,7 - 11 hours
CSP Bahria University Lahore Spring 2022 Task 5 Serve Meals,"Events, Conferences",May 23 2022 - Jun 18 2022,9:00 AM - 11:59 PM,,Milkar,5,18,2,16,2 - 16 hours
Awareness Raising Session on Safe and Informed Migration 16th June 2022,Community Service,Jun 16 2022 - Jun 16 2022,3:00 PM - 9:00 PM,,Migrant Resource Centre Pakistan,4,2,6,19,6 - 19 hours
Sundas Foundation | Blood Donation Drive,Social Responsibility,Jun 14 2022 - Jun 14 2022,9:00 AM - 6:00 PM,Lahore,Sundas foundation,5,20,5,16,5 - 16 hours
CSP Bahria University Lahore Spring 2022 Task 2 iDonateBooks & Toys,"Events, Conferences",May 23 2022 - Jun 11 2022,9:00 AM - 11:59 PM,,Milkar,5,5,6,14,6 - 14 hours
CSP Bahria University Lahore Spring 2022 Task 3 Cloth Drive,Community Service,May 23 2022 - Jun 11 2022,9:00 AM - 11:59 PM,,Milkar,5,8,6,20,6 - 20 hours
WWF Run4Rivers Campaign,"Teaching, Workshops",Jun 05 2022 - Jun 05 2022,5:00 PM - 9:00 PM,,World Wide Fund for Nature Pakistan,5,5,6,12,6 - 12 hours
CSP Bahria University Lahore Spring 2022 Task 1 Advocacy,Social Responsibility,May 23 2022 - Jun 04 2022,9:00 AM - 11:59 PM,,Milkar,3,5,5,16,5 - 16 hours
WWF Only One Earth Inter-University Poster & Photography Competition,Community Service,May 28 2022 - Jun 03 2022,9:00 AM - 11:59 PM,,World Wide Fund for Nature Pakistan,4,19,5,20,5 - 20 hours
Awareness Raising Session on Safe and Informed Migration 3rd June 2022,Social Responsibility,Jun 03 2022 - Jun 03 2022,3:00 PM - 9:00 PM,,Migrant Resource Centre Pakistan,4,5,8,15,8 - 15 hours
Akhuwat Fellowship Program 2022,"Events, Conferences",May 07 2022 - May 31 2022,5:00 PM - 11:00 PM,,Akhuwat Foundation,5,20,10,16,10 - 16 hours
Indus Blood Donation Call May'2022,Social Responsibility,May 20 2022 - May 31 2022,4:00 PM - 11:59 PM,,Indus Hospital & Health Network,5,8,2,19,2 - 19 hours
Alkhidmat Cholistan Drought Donation Campaign'22,Social Responsibility,May 20 2022 - May 31 2022,4:00 PM - 11:59 PM,,Alkhidmat Foundation Pakistan,4,16,10,16,10 - 16 hours
Zindagi Trust Summer Camp 2022 ~ Call for Volunteers,Community Service,May 28 2022 - May 31 2022,9:00 AM - 1:00 PM,Karachi,Zindagi Trust,4,5,6,19,6 - 19 hours
Summer Internship Program 2022,Social Responsibility,May 29 2022 - May 30 2022,1:00 AM - 11:59 PM,,Green Crescent Trust,4,5,9,19,9 - 19 hours
"MilKar & AWT DastarkhwanVisit & Serve People"" May 2022""","Events, Conferences",May 28 2022 - May 28 2022,5:00 PM - 8:00 PM,,ALLAH Walay Trust,3,15,5,16,5 - 16 hours
KDSP Summer Internship Program 2022,Community Service,May 20 2022 - May 27 2022,3:00 PM - 11:59 PM,,Karachi Down Syndrome Program,4,1,8,17,8 - 17 hours
Alkhidmat x Lahore International Book Fair 2022,Social Responsibility,May 12 2022 - May 15 2022,9:00 AM - 9:00 PM,,Alkhidmat Foundation Pakistan,5,15,1,17,1 - 17 hours
Door of Awareness,Community Service,May 12 2022 - May 15 2022,10:00 AM - 5:00 PM,,Door of Awareness,5,13,5,19,5 - 19 hours
Alkhidmat Digital Guru,"Events, Conferences",Mar 01 2022 - May 05 2022,10:00 PM - 5:00 PM,,Alkhidmat Foundation Pakistan,3,14,6,13,6 - 13 hours
Door of Awareness,"Teaching, Workshops",Apr 01 2022 - May 02 2022,9:30 AM - 3:00 PM,,Door of Awareness,4,15,4,16,4 - 16 hours
Ramadan Drive '22,Community Service,Apr 03 2022 - May 02 2022,10:00 AM - 11:59 PM,,Humans Of Burewala,5,7,4,20,4 - 20 hours
Ramzan Donation Call'22,Social Responsibility,Apr 03 2022 - May 02 2022,10:00 AM - 11:59 PM,,SEEK FOUNDATION,5,18,3,20,3 - 20 hours
Uplift Pakistan Together - Fundraising'22,"Teaching, Workshops",Apr 03 2022 - May 02 2022,10:00 AM - 11:59 PM,,Baithak School Network,3,19,7,14,7 - 14 hours
Ramadan 2022,Community Service,Apr 03 2022 - May 02 2022,10:00 AM - 11:59 PM,,Pakistan Children's Heart Foundation,3,5,6,18,6 - 18 hours
Ramzan Zakat Campaign'22,"Teaching, Workshops",Apr 03 2022 - May 02 2022,10:00 AM - 11:59 PM,,Sundas foundation,5,4,10,12,10 - 12 hours
Ramadan Campaign 2022,"Teaching, Workshops",Apr 03 2022 - May 02 2022,10:00 AM - 11:59 PM,,Shifa Foundation,5,5,5,13,5 - 13 hours
Ramzan Zakat Drive'22,Community Service,Apr 03 2022 - May 02 2022,10:00 AM - 11:59 PM,,READ Foundation,5,3,5,17,5 - 17 hours
Indus Hospital Ramzan Zakat Campaign'22,Community Service,Apr 03 2022 - May 02 2022,10:00 AM - 11:59 PM,,Indus Hospital & Health Network,4,7,1,19,1 - 19 hours
SOS Ramzan Zakat Campaign'22,"Teaching, Workshops",Apr 03 2022 - May 02 2022,10:00 AM - 11:59 PM,,SOS Childrens Villages Pakistan,5,17,1,18,1 - 18 hours
Akhuwat Zakat Campaign'22,Social Responsibility,Apr 03 2022 - May 02 2022,10:00 AM - 11:59 PM,,Akhuwat Foundation,5,7,6,13,6 - 13 hours
Ramzan Fundraising and Donations'22,Social Responsibility,Apr 03 2022 - May 02 2022,10:00 AM - 11:59 PM,,Transparent Hands,3,8,10,13,10 - 13 hours
Ehsas-e-Zimedaari Ramzan Zakat Campaign'22,"Teaching, Workshops",Apr 03 2022 - May 02 2022,10:00 AM - 11:59 PM,,Ehsas e Zimedaari,4,18,5,11,5 - 11 hours
Chadar Ration & Iftar Drive'22,Community Service,Apr 03 2022 - May 02 2022,10:00 AM - 11:59 PM,,Chadar,3,6,8,17,8 - 17 hours
Next Generation Pakistan Ramzan Donation Call'22,Social Responsibility,Apr 05 2022 - May 02 2022,10:00 AM - 11:59 PM,,Next Generation Pakistan,3,11,3,19,3 - 19 hours
EESAR-E-RAMZAN'22 Cloth Drive,Community Service,Apr 05 2022 - May 02 2022,10:00 AM - 11:59 PM,,Pakistan Citizens Alliance,5,16,8,14,8 - 14 hours
KDSP Ramzan Zakat Campaign'22,"Teaching, Workshops",Apr 05 2022 - May 02 2022,10:00 AM - 11:59 PM,,Karachi Down Syndrome Program,3,4,3,16,3 - 16 hours
Green Crescent Trust Ramzan Donation Call'22,Social Responsibility,Apr 05 2022 - May 02 2022,10:00 AM - 11:59 PM,,Green Crescent Trust,3,4,10,12,10 - 12 hours
Little x Little Matching campaign,"Teaching, Workshops",Apr 05 2022 - May 02 2022,10:00 AM - 11:59 PM,,Zindagi Trust,4,20,3,15,3 - 15 hours
